feature,importance
return_3d,0.01717231050133705
return_60d,0.01610015006735921
volume_to_ma_10,0.01497232960537076
ma_20,0.013050399720668793
ma_10,0.013014400377869606
body_ratio,0.010174130089581013
daily_return,0.0
atr_pct_14,0.0
range_mean_5,0.0
range_mean_pct_5,0.0
range_mean_10,0.0
range_mean_pct_10,0.0
range_mean_20,0.0
range_mean_pct_20,0.0
rsi_14,0.0
macd_histogram,0.0
macd,0.0
macd_signal,0.0
volatility_20,0.0
stochastic_k,0.0
stochastic_d,0.0
volume_change,0.0
volume_ma_5,0.0
volume_to_ma_5,0.0
volume_ma_10,0.0
volume_ma_20,0.0
atr_14,0.0
ma_divergence_5_20,0.0
volatility_10,0.0
volatility_5,0.0
return_5d,0.0
return_10d,0.0
return_20d,0.0
gap,0.0
high_low_ratio,0.0
close_position,0.0
upper_tail_ratio,0.0
lower_tail_ratio,0.0
ma_5,0.0
close_to_ma_5,0.0
ma_slope_5,0.0
close_to_ma_10,0.0
ma_slope_10,0.0
close_to_ma_20,0.0
ma_slope_20,0.0
ma_60,0.0
close_to_ma_60,0.0
ma_slope_60,0.0
return_2d,0.0
volume_to_ma_20,0.0
